query,total_exec_time,calls,mean_exec_time
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,20195977.5458012,7220953,2.796857637184813
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,20195977.5458012,7220953,2.796857637184813
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,20195977.5458012,7220953,2.796857637184813
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,20195977.5458012,7220953,2.796857637184813
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,20195977.5458012,7220953,2.796857637184813
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,5063636.835831569,7220955,0.7012419874976142
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,5063636.835831569,7220955,0.7012419874976142
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,5063636.835831569,7220955,0.7012419874976142
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,5063636.835831569,7220955,0.7012419874976142
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,5063636.835831569,7220955,0.7012419874976142
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1420076.0603030575,1099350,1.291741538457284
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1420076.0603030575,1099350,1.291741538457284
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1420076.0603030575,1099350,1.291741538457284
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1420076.0603030575,1099350,1.291741538457284
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1420076.0603030575,1099350,1.291741538457284
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1266946.045501975,749742,1.6898426998914002
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1171978.479483996,695299,1.685574809519329
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,1080175.7893439909,639769,1.6883840719759504
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,986469.4333569985,584031,1.6890703290698397
UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2,893219.8894270015,528166,1.6911726416069846
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,264707.90235199657,1099350,0.2407858301287136
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,264707.90235199657,1099350,0.2407858301287136
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,264707.90235199657,1099350,0.2407858301287136
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,264707.90235199657,1099350,0.2407858301287136
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,264707.90235199657,1099350,0.2407858301287136
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,232136.62139300178,749747,0.30961994031722206
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,214951.65106900153,695304,0.3091477268489964
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,197456.0897610024,639770,0.30863605633432384
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,180443.1306280048,584035,0.3089594469989069
UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2,163040.1100440044,528169,0.30868928324836375
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,162537.75111198844,7220955,0.022509176571796945
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,162537.75111198844,7220955,0.022509176571796945
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,162537.75111198844,7220955,0.022509176571796945
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,162537.75111198844,7220955,0.022509176571796945
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,162537.75111198844,7220955,0.022509176571796945
SELECT abalance FROM pgbench_accounts WHERE aid = $1,49248.51726801877,7220955,0.00682022215454901
SELECT abalance FROM pgbench_accounts WHERE aid = $1,49248.51726801877,7220955,0.00682022215454901
SELECT abalance FROM pgbench_accounts WHERE aid = $1,49248.51726801877,7220955,0.00682022215454901
SELECT abalance FROM pgbench_accounts WHERE aid = $1,49248.51726801877,7220955,0.00682022215454901
SELECT abalance FROM pgbench_accounts WHERE aid = $1,49248.51726801877,7220955,0.00682022215454901
"INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP)",43160.684462990524,7220945,0.005977151808108482
"INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP)",43160.684462990524,7220945,0.005977151808108482
"INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP)",43160.684462990524,7220945,0.005977151808108482
"INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP)",43160.684462990524,7220945,0.005977151808108482
"INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP)",43160.684462990524,7220945,0.005977151808108482
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,29729.888466000884,1099350,0.027043151376723078
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,29729.888466000884,1099350,0.027043151376723078
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,29729.888466000884,1099350,0.027043151376723078
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,29729.888466000884,1099350,0.027043151376723078
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,29729.888466000884,1099350,0.027043151376723078
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,20179.630613999594,749747,0.026915253564203073
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,18670.359265999592,695306,0.02685200367320322
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,17303.663169000072,639772,0.0270466090560388
UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2,15815.956305000376,584036,0.027080447617955083
